month,unemployment_rate,total_employment,all_gdp
1997-01-01,9.5,13147.7,1200427
1997-02-01,9.5,13215.3,1207984
1997-03-01,9.3,13289.6,1207836
1997-04-01,9.4,13355.9,1216027
1997-05-01,9.4,13732.9,1220355
1997-06-01,9.1,14040.7,1222650
1997-07-01,8.9,14117.3,1235807
1997-08-01,8.9,14172.5,1237361
1997-09-01,8.8,13923.8,1239488
1997-10-01,8.9,13901.5,1244300
1997-11-01,8.9,13820.2,1245279
1997-12-01,8.5,13780.6,1256596
1998-01-01,8.8,13474.6,1251276
1998-02-01,8.6,13597.2,1263285
1998-03-01,8.4,13654.9,1267784
1998-04-01,8.3,13766.5,1268479
1998-05-01,8.3,14091.5,1266172
1998-06-01,8.4,14341.2,1265876
1998-07-01,8.3,14441,1265509
1998-08-01,8.1,14468.4,1277712
1998-09-01,8.2,14235.5,1281876
1998-10-01,8,14224.5,1287736
1998-11-01,8,14162.4,1291195
1998-12-01,8.1,14106.4,1303212
1999-01-01,7.9,13881.5,1307658
1999-02-01,7.9,13952.6,1313944
1999-03-01,7.9,13988.3,1314242
1999-04-01,8.2,14102.3,1323164
1999-05-01,7.9,14454.5,1325374
1999-06-01,7.6,14698.7,1334509
1999-07-01,7.6,14804.6,1341912
1999-08-01,7.4,14776,1348795
1999-09-01,7.5,14556.5,1357768
1999-10-01,7.2,14575.2,1361723
1999-11-01,6.9,14517.4,1373037
1999-12-01,6.8,14516.2,1382070
2000-01-01,6.8,14257,1389075
2000-02-01,6.9,14363.7,1389135
2000-03-01,6.9,14418,1400565
2000-04-01,6.7,14493.1,1398972
2000-05-01,6.6,14874.9,1406793
2000-06-01,6.7,15056.3,1411961
2000-07-01,6.8,15112.9,1415071
2000-08-01,7,15097,1420264
2000-09-01,6.9,14883.9,1422834
2000-10-01,7,14896.3,1425565
2000-11-01,6.9,14846.2,1426613
2000-12-01,6.8,14822.2,1430277
2001-01-01,6.9,14526,1430465
2001-02-01,7,14572.4,1430086
2001-03-01,7.1,14619.1,1430984
2001-04-01,7.1,14724.3,1429758
2001-05-01,7,15080.9,1435864
2001-06-01,7.2,15230.6,1434670
2001-07-01,7.1,15297.8,1432538
2001-08-01,7.2,15273.1,1437285
2001-09-01,7.2,15029.5,1429507
2001-10-01,7.3,15023,1435965
2001-11-01,7.5,14951.4,1445138
2001-12-01,8.1,14859.5,1443458
2002-01-01,8,14659.9,1458948
2002-02-01,7.9,14732.8,1466791
2002-03-01,7.9,14846.7,1465211
2002-04-01,7.7,14968.3,1475574
2002-05-01,7.8,15352,1477787
2002-06-01,7.6,15597.9,1479462
2002-07-01,7.6,15688.9,1485217
2002-08-01,7.4,15740.1,1490765
2002-09-01,7.6,15498.9,1487347
2002-10-01,7.6,15496.3,1496308
2002-11-01,7.5,15464.6,1495605
2002-12-01,7.6,15449.5,1491093
2003-01-01,7.5,15179.3,1498814
2003-02-01,7.5,15291.4,1502703
2003-03-01,7.4,15339.6,1501137
2003-04-01,7.6,15386.7,1496182
2003-05-01,7.8,15700.7,1500560
2003-06-01,7.6,15984.7,1504985
2003-07-01,7.7,16002.9,1512785
2003-08-01,7.8,15971.9,1498298
2003-09-01,7.9,15750.1,1516781
2003-10-01,7.6,15801.8,1523419
2003-11-01,7.4,15772.6,1525034
2003-12-01,7.3,15748.4,1531448
2004-01-01,7.3,15452.4,1534133
2004-02-01,7.3,15513.4,1533153
2004-03-01,7.3,15538,1546782
2004-04-01,7.2,15663,1550713
2004-05-01,7.1,16016.3,1552199
2004-06-01,7.2,16273.7,1559745
2004-07-01,7.1,16287.8,1561166
2004-08-01,7,16224.4,1567772
2004-09-01,6.9,16023.1,1572150
2004-10-01,7.1,16049.3,1572634
2004-11-01,7.2,15993.7,1578521
2004-12-01,7.1,15945.2,1578808
2005-01-01,6.9,15658.4,1586464
2005-02-01,7,15742.1,1587514
2005-03-01,6.9,15754.4,1582075
2005-04-01,6.7,15850.3,1593743
2005-05-01,7,16242.5,1600541
2005-06-01,6.8,16446.2,1605305
2005-07-01,6.7,16482.8,1609419
2005-08-01,6.7,16460.9,1615485
2005-09-01,6.7,16200.5,1616815
2005-10-01,6.7,16266.6,1622249
2005-11-01,6.3,16222.3,1631120
2005-12-01,6.6,16155.2,1639741
2006-01-01,6.7,15921.3,1643777
2006-02-01,6.6,15992.8,1647376
2006-03-01,6.5,16056.8,1651113
2006-04-01,6.5,16152.9,1651447
2006-05-01,6.2,16619.2,1652209
2006-06-01,6.3,16775.4,1649492
2006-07-01,6.5,16778.5,1652499
2006-08-01,6.5,16711,1653687
2006-09-01,6.5,16482.5,1651259
2006-10-01,6.3,16537.7,1653852
2006-11-01,6.5,16469.1,1657476
2006-12-01,6.3,16467.8,1667863
2007-01-01,6.4,16264.2,1664270
2007-02-01,6.3,16338.9,1672314
2007-03-01,6.3,16379.6,1675800
2007-04-01,6.3,16467.1,1677975
2007-05-01,6.2,16853.9,1685392
2007-06-01,6.1,17071.8,1690289
2007-07-01,6,17138,1690162
2007-08-01,6,17097.3,1695381
2007-09-01,6,16841.4,1692836
2007-10-01,6,16926.1,1694950
2007-11-01,6.1,16883,1697058
2007-12-01,6.2,16820.6,1691174
2008-01-01,6.1,16586.6,1698880
2008-02-01,6.1,16678.7,1696406
2008-03-01,6.2,16692.3,1700023
2008-04-01,6.2,16772.3,1704115
2008-05-01,6.2,17145.2,1704579
2008-06-01,6.1,17371.6,1708443
2008-07-01,6.2,17306.2,1716325
2008-08-01,6.2,17290.6,1715409
2008-09-01,6.3,17092.8,1716204
2008-10-01,6.4,17151,1714704
2008-11-01,6.7,16984.8,1697771
2008-12-01,7,16889.9,1674768
2009-01-01,7.5,16470.4,1666991
2009-02-01,8.1,16489.5,1658505
2009-03-01,8.4,16449.1,1645177
2009-04-01,8.4,16536.4,1639899
2009-05-01,8.7,16890.3,1638174
2009-06-01,8.8,17078,1639999
2009-07-01,8.8,16995.3,1642487
2009-08-01,8.7,16974.8,1641555
2009-09-01,8.5,16810.4,1653564
2009-10-01,8.6,16824.7,1654908
2009-11-01,8.6,16827,1664123
2009-12-01,8.6,16719.4,1668363
2010-01-01,8.4,16470.5,1678021
2010-02-01,8.4,16531.3,1686248
2010-03-01,8.3,16554.6,1694010
2010-04-01,8.2,16731.9,1691697
2010-05-01,8.2,17089.6,1698996
2010-06-01,8,17386.5,1703350
2010-07-01,8.2,17322.7,1705789
2010-08-01,8.2,17297.7,1711006
2010-09-01,8.2,17122.5,1710945
2010-10-01,8.1,17105.7,1719924
2010-11-01,7.9,17090,1728219
2010-12-01,7.8,17035.3,1740477
2011-01-01,7.8,16821.8,1746417
2011-02-01,7.8,16883.2,1743481
2011-03-01,7.8,16863.4,1749013
2011-04-01,7.8,17019.8,1749342
2011-05-01,7.7,17368.8,1745554
2011-06-01,7.7,17576.6,1753173
2011-07-01,7.4,17541,1765092
2011-08-01,7.4,17514.5,1773823
2011-09-01,7.5,17328.8,1778505
2011-10-01,7.5,17307,1778220
2011-11-01,7.6,17236.3,1780181
2011-12-01,7.5,17174,1788771
2012-01-01,7.7,16899.9,1787361
2012-02-01,7.6,16957.8,1782919
2012-03-01,7.4,17038.9,1787629
2012-04-01,7.4,17250.1,1794004
2012-05-01,7.6,17585.6,1797035
2012-06-01,7.4,17754.6,1798097
2012-07-01,7.3,17724,1801767
2012-08-01,7.4,17738.6,1799507
2012-09-01,7.4,17573,1799362
2012-10-01,7.4,17579.3,1798607
2012-11-01,7.4,17553.7,1807197
2012-12-01,7.3,17524.1,1807020
2013-01-01,7.1,17273.9,1817341
2013-02-01,7.1,17385.5,1822625
2013-03-01,7.3,17321.4,1828781
2013-04-01,7.2,17464.5,1831872
2013-05-01,7.1,17866.9,1836789
2013-06-01,7.2,18012.5,1830069
2013-07-01,7.3,17927.4,1840589
2013-08-01,7.3,17931.4,1848660
2013-09-01,7.1,17778.4,1854965
2013-10-01,7.3,17764.7,1865044
2013-11-01,7.1,17705.9,1869704
2013-12-01,7.4,17580.2,1862085
2014-01-01,7.3,17330.5,1863016
2014-02-01,7.3,17375.8,1872372
2014-03-01,7.1,17421.4,1877319
2014-04-01,7.1,17500.9,1881089
2014-05-01,7.3,17858.4,1892936
2014-06-01,7.2,18083.8,1901582
2014-07-01,7.1,18039.3,1904231
2014-08-01,7,17975.1,1900243
2014-09-01,7,17858.4,1907853
2014-10-01,6.8,17879.9,1913336
2014-11-01,6.8,17800,1914595
2014-12-01,6.7,17738.3,1917540
2015-01-01,6.8,17466,1909565
2015-02-01,6.9,17529.8,1906992
2015-03-01,6.9,17551.6,1905893
2015-04-01,7,17615.9,1905308
2015-05-01,6.9,18008.7,1904276
2015-06-01,6.9,18193.1,1909478
2015-07-01,7,18128.3,1914310
2015-08-01,7.1,18140.3,1918420
2015-09-01,7.1,17976,1910549
2015-10-01,7,17993.2,1912416
2015-11-01,7.1,17891.1,1917017
2015-12-01,7.3,17792.7,1919231
2016-01-01,7.2,17520.5,1930936
2016-02-01,7.3,17596.1,1925200
2016-03-01,7.2,17610.9,1917977
2016-04-01,7.3,17698.2,1922218
2016-05-01,7.1,18141.5,1911266
2016-06-01,7,18292.3,1920413
2016-07-01,7,18196.5,1931752
2016-08-01,6.9,18205.1,1936249
2016-09-01,7,18088.6,1941208
2016-10-01,6.9,18126.6,1940191
2016-11-01,6.8,18089.1,1947487
2016-12-01,6.9,18037.8,1952976
2017-01-01,6.9,17865.5,1962155
2017-02-01,6.6,17920.4,1969469
2017-03-01,6.7,17962.9,1977866
2017-04-01,6.5,18039.6,1987063
2017-05-01,6.6,18503.4,1991768
2017-06-01,6.5,18708.6,1996318
2017-07-01,6.3,18668.2,1995107
2017-08-01,6.2,18651.4,1993806
2017-09-01,6.2,18483.7,1999292
2017-10-01,6.3,18541,2000229
2017-11-01,6.2,18562.6,2010076
2017-12-01,6,18559.3,2015284
2018-01-01,5.9,18253.2,2021609
2018-02-01,6,18275.6,2031970
2018-03-01,5.8,18357.4,2039998
2018-04-01,5.8,18435.7,2039816
2018-05-01,5.9,18809.7,2046802
2018-06-01,6,19010.4,2049081
2018-07-01,5.9,19009.4,2053571
2018-08-01,6,18921.5,2055624
2018-09-01,5.8,18819,2059043
2018-10-01,5.6,18867.6,2063564
2018-11-01,5.7,18881.6,2060609
2018-12-01,5.6,18838.7,2063997
2019-01-01,5.7,18579.8,2067734
2019-02-01,5.8,18673.8,2061072
2019-03-01,5.8,18674.2,2072695
2019-04-01,5.7,18875.6,2085981
2019-05-01,5.5,19253.1,2092171
2019-06-01,5.6,19404.5,2095977
2019-07-01,5.7,19307.4,2097018
2019-08-01,5.7,19340.5,2097194
2019-09-01,5.6,19240.7,2098648
2019-10-01,5.6,19246.2,2100483
2019-11-01,5.9,19130.8,2100304
2019-12-01,5.6,19123.2,2110627
2020-01-01,5.5,18851.6,2111589
2020-02-01,5.8,18921.3,2116017
2020-03-01,8.5,17795.7,1956479
2020-04-01,13.7,15934.9,1747938
2020-05-01,14.2,16571.8,1828028
2020-06-01,12.6,17806.4,1936321
2020-07-01,10.9,18097.2,1986120
2020-08-01,10.1,18313,2005910
2020-09-01,9.1,18619.2,2024699
2020-10-01,9,18706.6,2037348
2020-11-01,8.6,18674.7,2051205
2020-12-01,8.9,18529.5,2056758
2021-01-01,9.2,18033.8,2068509
2021-02-01,8.5,18370.5,2071653
2021-03-01,7.7,18621,2093651
2021-04-01,8.2,18509.7,2072052
2021-05-01,8.3,18800.4,2067784
2021-06-01,7.9,19243.1,2087291
2021-07-01,7.4,19226.7,2101493
2021-08-01,7.1,19227.2,2119124
2021-09-01,7,19293.1,2129287
2021-10-01,6.5,19359.8,2147254
2021-11-01,6.1,19449.4,2157217
2021-12-01,5.9,19434.8,2166129
2022-01-01,6.4,18932.6,2160859
2022-02-01,5.5,19373.8,2183889
2022-03-01,5.4,19413,2196942
2022-04-01,5.4,19545.2,2197345
2022-05-01,5.2,19995.7,2202456
2022-06-01,4.9,20099.6,2211634
2022-07-01,4.8,19995.9,2214919
2022-08-01,5.2,19923.2,2221513
2022-09-01,5.1,19817,2226368
2022-10-01,5.1,19933.6,2223909
2022-11-01,5,19925,2221392
2022-12-01,5,19919.7,2214902
2023-01-01,5.1,19791.9,2236190
2023-02-01,5.2,19907.7,2243830
2023-03-01,5.1,19992,2250566
2023-04-01,5.1,20091.8,2250710
2023-05-01,5.2,20482,2251250
2023-06-01,5.4,20681.3,2248378
2023-07-01,5.4,20565.9,2250903
2023-08-01,5.4,20552.4,2251926
2023-09-01,5.5,20465.6,2251153
2023-10-01,5.7,20526.1,2253540
2023-11-01,5.8,20509.3,2259470
2023-12-01,5.8,20450.9,2256668
2024-01-01,5.7,20246.6,2262764
2024-02-01,5.9,20369.9,2276470
2024-03-01,6.1,20411.5,2277491
2024-04-01,6.2,20583.5,2285643
